NM_BAIRRO,POPULTOT,AreaKm2_p8,DnsPKm2_p8,geometry
Jardim do Salso,725,0.08822091,8218.00636606,"POLYGON ((-51.1724836557819 -30.0463161155229, -51.171195084576794 -30.046394953465, -51.171358491726096 -30.0478869610115, -51.1704858923802 -30.0501250094332, -51.1724938057235 -30.050743433286893, -51.1725106863695 -30.050716439815602, -51.172803213032196 -30.0501159283208, -51.172960952760015 -30.0495562032595, -51.1730659863549 -30.0491111581722, -51.172644693215005 -30.047840160231598, -51.1724836557819 -30.0463161155229))"
Jardim do Salso,155,0.05399144,2870.82544937,"POLYGON ((-51.171358491726096 -30.0478869610115, -51.16969673791739 -30.0479107695449, -51.169360765300794 -30.0479815926518, -51.1691597534752 -30.048116315656504, -51.168816678887005 -30.0488919590991, -51.1684306479612 -30.0487668313833, -51.16826946378129 -30.0491859546529, -51.168184459968096 -30.049405686058904, -51.1703612453597 -30.050086618986196, -51.1704858923802 -30.0501250094332, -51.171358491726096 -30.0478869610115))"
Jardim do Salso,381,0.01687925,22572.09295437,"POLYGON ((-51.1665613357126 -30.048168356711596, -51.1662896368369 -30.0488129553899, -51.168184459968096 -30.049405686058904, -51.16826946378129 -30.0491859546529, -51.1684306479612 -30.0487668313833, -51.1665613357126 -30.048168356711596))"
Jardim do Salso,287,0.01410473,20347.78404124,"POLYGON ((-51.1650501422182 -30.047660373705, -51.1647673894279 -30.048336772304303, -51.1662896368369 -30.0488129553899, -51.1665613357126 -30.048168356711596, -51.1650501422182 -30.047660373705))"
Jardim do Salso,496,0.03101058,15994.54121787,"POLYGON ((-51.1647673894279 -30.048336772304303, -51.1645107194545 -30.048956474852396, -51.16601377433621 -30.049454862002897, -51.1679191739174 -30.050082484161198, -51.1680536040104 -30.0497439433967, -51.168184459968096 -30.049405686058904, -51.1662896368369 -30.0488129553899, -51.1647673894279 -30.048336772304303))"
Jardim do Salso,672,0.02830138,23744.42518351,"POLYGON ((-51.1645107194545 -30.048956474852396, -51.164495297822896 -30.048987667315203, -51.164483506079 -30.0490249981088, -51.1643735300178 -30.0493731649011, -51.164354954983196 -30.0494318472403, -51.16435495796949 -30.049433652134397, -51.1642177124873 -30.049869705984896, -51.164123323643594 -30.0505033425983, -51.164835779535 -30.050379720605704, -51.1650313753817 -30.050725113744605, -51.16524688169309 -30.051293788932096, -51.1655477482775 -30.0505872940562, -51.16601377433621 -30.049454862002897, -51.1645107194545 -30.048956474852396))"
Jardim do Salso,627,0.08260134,7590.67588976,"POLYGON ((-51.168184459968096 -30.049405686058904, -51.1680536040104 -30.0497439433967, -51.1679191739174 -30.050082484161198, -51.1676280267488 -30.0508156919043, -51.17157345798749 -30.052090365668203, -51.172097925826904 -30.051376669257394, -51.1722220646747 -30.051177968446503, -51.1724938057235 -30.050743433286893, -51.1704858923802 -30.0501250094332, -51.1703612453597 -30.050086618986196, -51.168184459968096 -30.049405686058904))"
Jardim do Salso,367,0.14512588,2528.83910161,"POLYGON ((-51.17157345798749 -30.052090365668203, -51.1676280267488 -30.0508156919043, -51.1679191739174 -30.050082484161198, -51.16601377433621 -30.049454862002897, -51.1655477482775 -30.0505872940562, -51.16524688169309 -30.051293788932096, -51.1652480965577 -30.051296994700696, -51.1650548048711 -30.051715070576098, -51.16494004724589 -30.0519498508467, -51.168742803467694 -30.053034292756095, -51.1707791109978 -30.052995572124395, -51.171173694879194 -30.0526142270867, -51.171379683437294 -30.052354054288497, -51.17157345798749 -30.052090365668203))"
Santa Teresa,652,0.02851807,22862.69723021,"POLYGON ((-51.222542895226496 -30.074667845217, -51.221909775921006 -30.075072707145498, -51.2235639524867 -30.0769514077341, -51.2236649861163 -30.0771217979838, -51.2239346708833 -30.077489468479897, -51.2242018943 -30.0773230321899, -51.224433148253596 -30.077262174491093, -51.2248043975001 -30.077164077250604, -51.2243874635999 -30.076790274372602, -51.2242417584692 -30.0765964972253, -51.2235479485436 -30.075890241967702, -51.223415994517495 -30.0757559209942, -51.222609847677 -30.074865671843398, -51.222542895226496 -30.074667845217))"
Santa Teresa,620,0.0442201,14020.77335872,"POLYGON ((-51.223442008793796 -30.073022374129597, -51.2230450411667 -30.073674611776497, -51.2228671127802 -30.073914060717303, -51.2227130198441 -30.0741408348831, -51.2225758797418 -30.074524605458397, -51.2225523224774 -30.0746618167561, -51.222542895226496 -30.074667845217, -51.222609847677 -30.074865671843398, -51.223415994517495 -30.0757559209942, -51.2235479485436 -30.075890241967702, -51.2241324349206 -30.0755119460373, -51.2243826237469 -30.074648783627097, -51.224884150605 -30.0734513723139, -51.224817741907295 -30.0734342543099, -51.2244644678821 -30.073674907111496, -51.223589203932896 -30.073420102125198, -51.223442008793796 -30.073022374129597))"
Santa Teresa,1043,0.04288608,24320.24563681,"POLYGON ((-51.224884150605 -30.0734513723139, -51.2243826237469 -30.074648783627097, -51.2241324349206 -30.0755119460373, -51.2235479485436 -30.075890241967702, -51.2242417584692 -30.0765964972253, -51.2249071736384 -30.076270482580902, -51.2250034775545 -30.076184585899004, -51.2252737461061 -30.075942268867596, -51.2253736139528 -30.075598266914405, -51.2259380509747 -30.073724433463102, -51.2258652877142 -30.0737059021313, -51.225266114431 -30.073950588419397, -51.2249568601568 -30.073470114473302, -51.224884150605 -30.0734513723139))"
Santa Teresa,784,0.06188363,12668.94007349,"POLYGON ((-51.2259380509747 -30.073724433463102, -51.2253736139528 -30.075598266914405, -51.2252737461061 -30.075942268867596, -51.2260240193695 -30.0764319124094, -51.2259486060607 -30.076578237705494, -51.225789172004596 -30.0767364388325, -51.22529034300881 -30.0768546109698, -51.225860001626394 -30.0773229212309, -51.225901610091704 -30.0773571271055, -51.22629764104239 -30.077661472907, -51.226395577468004 -30.077836378561397, -51.226368108776 -30.0780764757287, -51.2262501537474 -30.078223776743005, -51.2260843190942 -30.078306183955096, -51.2259733310356 -30.078323520915397, -51.22555766321889 -30.0785110394444, -51.2251456797908 -30.078493695723697, -51.2247614634601 -30.0783662052229, -51.224411940559094 -30.078549226142595, -51.224422655967494 -30.078587881786003, -51.225205435571496 -30.079220060372798, -51.2257108274397 -30.0796309384858, -51.225683970879395 -30.079298655970298, -51.2256719207958 -30.079018919223497, -51.2269101353768 -30.077788565712005, -51.227311824922 -30.077389895280604, -51.2267006041312 -30.076910849182497, -51.227391323304296 -30.0763095331444, -51.2263102387588 -30.0754495620727, -51.2261199354369 -30.0752648880584, -51.2260754601329 -30.074871498943097, -51.226198991512895 -30.074440821079, -51.226276196288495 -30.074170857708296, -51.226009596712395 -30.073742654716398, -51.2259380509747 -30.073724433463102))"
Santa Teresa,410,0.00382682,107138.56413419,"POLYGON ((-51.2273570387987 -30.0727852881941, -51.22716764797539 -30.0733318547884, -51.227164557932696 -30.073341787003198, -51.2269595259254 -30.073936264037204, -51.2273129857404 -30.073818021251203, -51.22751365038379 -30.073247884138404, -51.2275964777116 -30.073012551532, -51.2273570387987 -30.0727852881941))"
Santa Teresa,734,0.1181792,6210.90682624,"POLYGON ((-51.2278541358535 -30.071350706309303, -51.227435215190496 -30.0725596774521, -51.227721174408494 -30.072641431440797, -51.2285683940026 -30.072881818510098, -51.2289975535123 -30.0722583864669, -51.22944954001701 -30.0725355523964, -51.228798661835 -30.073299250147, -51.2291436561518 -30.073522456308197, -51.2296799359682 -30.0730071289149, -51.2301108330769 -30.072666605351603, -51.2302278097744 -30.0725720965565, -51.230451764095896 -30.072948926357697, -51.2308851809984 -30.073715244359303, -51.2307104555535 -30.0739853813239, -51.229890594475094 -30.074364036831298, -51.22924638344201 -30.0744238188776, -51.2290438545365 -30.074338439181997, -51.2289750527977 -30.074199582502803, -51.2288576799566 -30.0741456399342, -51.228633726165896 -30.0742182245062, -51.2282554550334 -30.0739634891898, -51.22751365038379 -30.073247884138404, -51.2273129857404 -30.073818021251203, -51.2269595259254 -30.073936264037204, -51.22681512973279 -30.0743549314514, -51.22666051846559 -30.074805517159398, -51.2279980768988 -30.0757471639504, -51.2289024109651 -30.076405348544597, -51.2289157758166 -30.0763917212152, -51.2300586462507 -30.0752427234608, -51.2304909270135 -30.0750696006977, -51.23066819137039 -30.074997997216702, -51.2312523492395 -30.072753400609297, -51.2312492092304 -30.072752600363497, -51.230845301863695 -30.072628771844595, -51.230131976305 -30.072409824164897, -51.2298223112464 -30.072208217553303, -51.229014205736696 -30.071830599004198, -51.2281199397144 -30.0714250293652, -51.22810434415629 -30.0714179564308, -51.2278541358535 -30.071350706309303))"
Santa Teresa,732,0.07796458,9388.8788986,"POLYGON ((-51.23066819137039 -30.074997997216702, -51.2304909270135 -30.0750696006977, -51.2300586462507 -30.0752427234608, -51.2289157758166 -30.0763917212152, -51.2289024109651 -30.076405348544597, -51.2303189734228 -30.0774306937539, -51.2306817510309 -30.0777080111638, -51.230185988071305 -30.078253052143605, -51.229401383008195 -30.0790864741899, -51.2291128520881 -30.079386296891695, -51.2294940267065 -30.0796620714205, -51.22954287973519 -30.0796980839751, -51.229991856081696 -30.080033090305403, -51.2306613870775 -30.0792151269385, -51.231424414238695 -30.077117257573697, -51.2314212366179 -30.0771138081774, -51.2313789430042 -30.076775466252798, -51.231410099600595 -30.076342238659702, -51.2313334915855 -30.0759723714642, -51.23118321189819 -30.075601731135603, -51.231081246998194 -30.075481885139098, -51.23066819137039 -30.074997997216702))"
Santa Teresa,789,0.06357551,12410.43917697,"POLYGON ((-51.2289024109651 -30.076405348544597, -51.2282056326318 -30.077115811203598, -51.227283260531 -30.0780568502488, -51.227938074086396 -30.078536720500498, -51.2279734118247 -30.078561927727492, -51.2291128520881 -30.079386296891695, -51.229401383008195 -30.0790864741899, -51.230185988071305 -30.078253052143605, -51.2306817510309 -30.0777080111638, -51.2303189734228 -30.0774306937539, -51.2289024109651 -30.076405348544597))"
Santa Teresa,1036,0.07347018,14100.95905577,"POLYGON ((-51.223442008793796 -30.073022374129597, -51.223589203932896 -30.073420102125198, -51.2244644678821 -30.073674907111496, -51.224817741907295 -30.0734342543099, -51.224884150605 -30.0734513723139, -51.2249568601568 -30.073470114473302, -51.225266114431 -30.073950588419397, -51.2258652877142 -30.0737059021313, -51.2259380509747 -30.073724433463102, -51.226009596712395 -30.073742654716398, -51.226276196288495 -30.074170857708296, -51.226198991512895 -30.074440821079, -51.2260754601329 -30.074871498943097, -51.2261199354369 -30.0752648880584, -51.2263102387588 -30.0754495620727, -51.227391323304296 -30.0763095331444, -51.2267006041312 -30.076910849182497, -51.227311824922 -30.077389895280604, -51.2269101353768 -30.077788565712005, -51.2256719207958 -30.079018919223497, -51.225683970879395 -30.079298655970298, -51.2257108274397 -30.0796309384858, -51.227283260531 -30.0780568502488, -51.2282056326318 -30.077115811203598, -51.2289024109651 -30.076405348544597, -51.2279980768988 -30.0757471639504, -51.22666051846559 -30.074805517159398, -51.22681512973279 -30.0743549314514, -51.2269595259254 -30.073936264037204, -51.22363505990529 -30.073049119728196, -51.223442008793796 -30.073022374129597))"
Hípica,1328,0.8574055,1548.8587372,"POLYGON ((-51.219626193078 -30.152747004582803, -51.2196238821505 -30.152747568935503, -51.218917081314295 -30.1529201770891, -51.2179683855282 -30.1531112643173, -51.214494477499294 -30.153879614094905, -51.21396821628039 -30.153995902756304, -51.213342218493196 -30.1535962395597, -51.2127922610116 -30.1537866418008, -51.2119653589401 -30.153156274007603, -51.211439648523296 -30.153030779751003, -51.211090015187004 -30.153178438204193, -51.2110159223997 -30.153494408882796, -51.2116922508741 -30.1541259275874, -51.2115931018501 -30.1543787685443, -51.2107226042491 -30.154731213148693, -51.210621694603 -30.1546813669568, -51.2103796214456 -30.154561790429398, -51.20864730863931 -30.163361780884603, -51.20868503649739 -30.163446536696096, -51.21345297236039 -30.163058067891, -51.213571290015004 -30.163023583296496, -51.213631041069604 -30.1627996830257, -51.213867668402806 -30.162247009742096, -51.2141454669265 -30.1620047056502, -51.2147201662889 -30.161710477710795, -51.21533558984989 -30.161519960268702, -51.2206635860982 -30.160889376237296, -51.2205985512432 -30.1604932901473, -51.2204117356838 -30.160078484635896, -51.22035955182609 -30.1599621583443, -51.2204619542245 -30.159778792871005, -51.22000497526079 -30.1588256873145, -51.2197504667707 -30.158753004567004, -51.2197323668849 -30.1587440913675, -51.218152850267295 -30.159065211207004, -51.211330161333194 -30.160112348444198, -51.211307220049406 -30.160068166120602, -51.21129773678101 -30.1600041086448, -51.210886752817 -30.1576900283635, -51.217997246427004 -30.1567850217991, -51.219476700938706 -30.1566616407206, -51.2198560670288 -30.1558388839847, -51.2201048366964 -30.1551995123877, -51.2202000290563 -30.154544219332294, -51.2201122795377 -30.153843175689904, -51.2197144913676 -30.152876432557196, -51.219626193078 -30.152747004582803))"
Hípica,646,0.24441875,2643.0050886,"POLYGON ((-51.219476700938706 -30.1566616407206, -51.217997246427004 -30.1567850217991, -51.210886752817 -30.1576900283635, -51.21129773678101 -30.1600041086448, -51.211307220049406 -30.160068166120602, -51.211330161333194 -30.160112348444198, -51.218152850267295 -30.159065211207004, -51.2197323668849 -30.1587440913675, -51.219725414055794 -30.158731399456304, -51.219525725400096 -30.1581280056412, -51.219272300969095 -30.1576429197875, -51.2192389260865 -30.157578000292492, -51.219365168909896 -30.1570444101822, -51.2193737027159 -30.157008340373302, -51.2193734306381 -30.156885609962202, -51.219476700938706 -30.1566616407206))"
Hípica,629,0.18388972,3420.5283471,"POLYGON ((-51.206945227769005 -30.152865348311703, -51.205316010207696 -30.1545024267987, -51.2055240550884 -30.154674466585302, -51.204440734980395 -30.1555695645883, -51.2031397552868 -30.1565749253108, -51.2065086703937 -30.158241145021805, -51.2090748714496 -30.153917284961402, -51.2079491672163 -30.1533612224698, -51.206945227769005 -30.152865348311703))"
Hípica,1169,0.14957495,7815.47979792,"POLYGON ((-51.2020642907214 -30.1502524878984, -51.201957526259 -30.150345602657293, -51.201759813536796 -30.150650026477102, -51.201536863734496 -30.151310047717008, -51.2014876139261 -30.1516016093982, -51.201364766354295 -30.152467231789696, -51.2010178795714 -30.153462244675396, -51.2009896855368 -30.153509137146603, -51.202839494291695 -30.154073102288503, -51.20293312902619 -30.153652423700297, -51.2030896516466 -30.153515914549796, -51.2032971974535 -30.153447911303005, -51.203129485179296 -30.153191879292304, -51.2037734361824 -30.153254053319003, -51.2045299124561 -30.1534974383857, -51.204782535204096 -30.153635117557396, -51.204883923883905 -30.153954421139098, -51.2050995819007 -30.1542933999748, -51.205316010207696 -30.1545024267987, -51.206945227769005 -30.152865348311703, -51.204459610646 -30.151637631539096, -51.20414675676359 -30.1514955330384, -51.2036584027658 -30.1513482911046, -51.2032508508088 -30.1511061669015, -51.202874064257095 -30.150674482787196, -51.2020642907214 -30.1502524878984))"
Hípica,569,0.09787782,5813.37017927,"POLYGON ((-51.205316010207696 -30.1545024267987, -51.2050995819007 -30.1542933999748, -51.204883923883905 -30.153954421139098, -51.204782535204096 -30.153635117557396, -51.2045299124561 -30.1534974383857, -51.2037734361824 -30.153254053319003, -51.203129485179296 -30.153191879292304, -51.2032971974535 -30.153447911303005, -51.2033009171213 -30.153742098954297, -51.2032133291306 -30.154072525081997, -51.2032604347764 -30.154255646310098, -51.2033791962483 -30.154440461571497, -51.2032912556605 -30.154599425878693, -51.2030018598095 -30.154759603728596, -51.2024603180626 -30.1550158273771, -51.2020066063527 -30.1550589395647, -51.201829920528695 -30.1549852113288, -51.2016146601099 -30.1548366400141, -51.201463004035595 -30.1548152140506, -51.200932687809 -30.1544649787909, -51.200743542633504 -30.1543912681182, -51.2004744349337 -30.1542951334122, -51.2001480895795 -30.154692686227005, -51.1998633042097 -30.154954437054602, -51.2031397552868 -30.1565749253108, -51.204440734980395 -30.1555695645883, -51.2055240550884 -30.154674466585302, -51.205316010207696 -30.1545024267987))"
Hípica,591,0.03423267,17264.20989073,"POLYGON ((-51.2032971974535 -30.153447911303005, -51.2030896516466 -30.153515914549796, -51.20293312902619 -30.153652423700297, -51.202839494291695 -30.154073102288503, -51.2009896855368 -30.153509137146603, -51.2006339179259 -30.1541008517666, -51.2004744349337 -30.1542951334122, -51.200743542633504 -30.1543912681182, -51.200932687809 -30.1544649787909, -51.201463004035595 -30.1548152140506, -51.2016146601099 -30.1548366400141, -51.201829920528695 -30.1549852113288, -51.2020066063527 -30.1550589395647, -51.2024603180626 -30.1550158273771, -51.2030018598095 -30.154759603728596, -51.2032912556605 -30.154599425878693, -51.2033791962483 -30.154440461571497, -51.2032604347764 -30.154255646310098, -51.2032133291306 -30.154072525081997, -51.2033009171213 -30.153742098954297, -51.2032971974535 -30.153447911303005))"
